commission_bps,slippage_bps,stop_pct,n,mean,std,sharpe,cagr,max_dd,win_rate
0,0,0.01,882,0.0003845457019012123,0.012893014410991064,0.47347141445931834,0.07904695072792212,-0.17423712511965717,0.47165532879818595
0,0,0.02,882,0.00035955236429854756,0.013151446134039553,0.43399917980596786,0.07135107185724232,-0.19243523559650588,0.4897959183673469
0,0,0.015,882,0.00033767313367816595,0.013129678396775878,0.4082655077186107,0.06553813747488535,-0.2072927139324452,0.48299319727891155
0,0,0.03,882,0.0003383328078386049,0.013358374809667424,0.4020598984544164,0.06492180894597976,-0.2581954852478663,0.4954648526077097
0,5,0.02,882,0.00027375162545591013,0.0132430078336686,0.32814843775051794,0.04811610526196897,-0.19820386165948478,0.4886621315192744
5,0,0.02,882,0.00027375162545591013,0.0132430078336686,0.32814843775051794,0.04811610526196897,-0.19820386165948478,0.4886621315192744
0,5,0.015,882,0.00023166406338338133,0.01321769331590775,0.2782295600785943,0.03714740959609886,-0.226870703457973,0.481859410430839
5,0,0.015,882,0.00023166406338338133,0.01321769331590775,0.2782295600785943,0.03714740959609886,-0.226870703457973,0.481859410430839
0,5,0.03,882,0.00023402441781592915,0.01345845374916823,0.2760363508902597,0.03694378440824786,-0.28837917357242016,0.4931972789115646
5,0,0.03,882,0.00023402441781592915,0.01345845374916823,0.2760363508902597,0.03694378440824786,-0.28837917357242016,0.4931972789115646
0,5,0.01,882,0.00021998517263873405,0.013007904503629382,0.26846417519192634,0.03483175258043425,-0.1848853097224059,0.46825396825396826
5,0,0.01,882,0.00021998517263873405,0.013007904503629382,0.26846417519192634,0.03483175258043425,-0.1848853097224059,0.46825396825396826
0,10,0.02,882,0.0001751121696735971,0.01333848109794206,0.2084060017457756,0.022055063913811734,-0.22357116878007033,0.4886621315192744
5,5,0.02,882,0.0001751121696735971,0.01333848109794206,0.2084060017457756,0.022055063913811734,-0.22357116878007033,0.4886621315192744
10,0,0.02,882,0.0001751121696735971,0.01333848109794206,0.2084060017457756,0.022055063913811734,-0.22357116878007033,0.4886621315192744
0,10,0.03,882,0.00012971602779325345,0.013564272731662358,0.15180895757086316,0.00967499587097298,-0.3173624393179335,0.4931972789115646
5,5,0.03,882,0.00012971602779325345,0.013564272731662358,0.15180895757086316,0.00967499587097298,-0.3173624393179335,0.4931972789115646
10,0,0.03,882,0.00012971602779325345,0.013564272731662358,0.15180895757086316,0.00967499587097298,-0.3173624393179335,0.4931972789115646
0,10,0.015,882,0.00012565499308859665,0.013311381100796571,0.14985005395994813,0.009488508246544791,-0.2601489415747755,0.481859410430839
5,5,0.015,882,0.00012565499308859665,0.013311381100796571,0.14985005395994813,0.009488508246544791,-0.2601489415747755,0.481859410430839
10,0,0.015,882,0.00012565499308859665,0.013311381100796571,0.14985005395994813,0.009488508246544791,-0.2601489415747755,0.481859410430839
0,10,0.01,882,0.0001100078483756954,0.013096870919267905,0.13333875436118,0.006249333526840095,-0.2155238733312852,0.46825396825396826
5,5,0.01,882,0.0001100078483756954,0.013096870919267905,0.13333875436118,0.006249333526840095,-0.2155238733312852,0.46825396825396826
10,0,0.01,882,0.0001100078483756954,0.013096870919267905,0.13333875436118,0.006249333526840095,-0.2155238733312852,0.46825396825396826
5,10,0.02,882,5.262266226653172e-05,0.013423453384221122,0.062231293407868704,-0.009300943349208723,-0.27774183986020795,0.4875283446712018
10,5,0.02,882,5.262266226653172e-05,0.013423453384221122,0.062231293407868704,-0.009300943349208723,-0.27774183986020795,0.4875283446712018
5,10,0.03,882,2.540763777057771e-05,0.013675698512939385,0.029492734522755328,-0.016901881363167726,-0.3451919196751938,0.4931972789115646
10,5,0.03,882,2.540763777057771e-05,0.013675698512939385,0.029492734522755328,-0.016901881363167726,-0.3451919196751938,0.4931972789115646
5,10,0.015,882,1.9645922793812086e-05,0.01341062285855953,0.023255396801630066,-0.017456797209978614,-0.292023289372238,0.481859410430839
10,5,0.015,882,1.9645922793812086e-05,0.01341062285855953,0.023255396801630066,-0.017456797209978614,-0.292023289372238,0.481859410430839
5,10,0.01,882,3.052411265697221e-08,0.013191376379859308,3.67327299695146e-05,-0.021567151687212682,-0.2504418636787006,0.46825396825396826
10,5,0.01,882,3.052411265697221e-08,0.013191376379859308,3.67327299695146e-05,-0.021567151687212682,-0.2504418636787006,0.46825396825396826
10,10,0.02,882,-4.204853954752734e-05,0.013522137041696226,-0.049363489643616185,-0.03298865856761113,-0.30538760066955006,0.4875283446712018
10,10,0.03,882,-7.890075225209813e-05,0.013792595207290844,-0.09081036552336012,-0.04280376477418302,-0.3719124828962871,0.4931972789115646
10,10,0.01,882,-0.00010994680015038157,0.013291302732726235,-0.1313152953452724,-0.04863759968538239,-0.28383289350558083,0.46825396825396826
10,10,0.015,882,-0.0001321200822423888,0.013520469730021323,-0.1551234037533149,-0.05469024896877728,-0.32252828351227036,0.47959183673469385
